States,x,y
Andaman & Nicobar Islands,123,-110
Andhra Pradesh,-38,-77
Arunachal Pradesh,124,85
Assam,111,56
Bihar,30,47
Chandigarh,-63,107
Chhattisgarh,-11,-3
Dadra and Nagar Haveli and Daman and Diu,-107,-20
Delhi,-59,79
Goa,-98,-77
Gujarat,-125,14
Haryana,-69,87
Himachal Pradesh,-57,119
Jammu and Kashmir,-84,142
Jharkhand,25,18
Karnataka,-82,-87
Kerala,-72,-137
Ladakh,-54,151
Lakshadweep,-124,-117
Madhya Pradesh,-46,14
Maharashtra,-81,-26
Manipur,122,39
Meghalaya,94,46
Mizoram,111,23
Nagaland,128,59
Odisha,24,-11
Puducherry,-1,-61
Punjab,-75,107
Rajasthan,-100,55
Sikkim,60,70
Tamil Nadu,-51,-132
Telangana,-39,-44
Tripura,98,25
Uttar Pradesh,-22,60
Uttarakhand,-34,96
West Bengal,56,14
